system:index,A2015040,A2015041,A2015042,id,.geo
A20150401_0000_0,315.8621520996094,320.8438415527344,321.5936279296875,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.54859931087773,26.557191000167748]}"
A20150401_0000_1,312.17230224609375,321.7938537597656,321.5162353515625,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.14691430281763,28.164266470245117]}"
A20150401_0000_2,315.7021484375,320.4138488769531,320.71148681640625,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.18250130185268,26.869677897127232]}"
A20150401_0000_3,317.0174560546875,320.8238525390625,323.08148193359375,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.54851545141847,27.15538020291877]}"
A20150401_0000_4,314.5921630859375,321.2338562011719,321.8135986328125,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.93255371401474,26.887534291239206]}"
A20150401_0000_5,315.39215087890625,320.9638366699219,321.6312561035156,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11111765513445,26.575047394279714]}"
A20150401_0000_6,316.8530578613281,320.8138427734375,321.4912414550781,6,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.95032624866744,26.146493935592417]}"
A20150401_0000_7,311.8923034667969,320.94384765625,321.2962646484375,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.45935927004749,28.574963534820448]}"
A20150401_0000_8,317.0174560546875,321.9138488769531,323.8614807128906,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3967361014667,27.244662173478623]}"
A20150401_0000_9,313.9693908691406,321.00384521484375,321.08123779296875,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.9235835872291,27.280374961702563]}"
A20150401_0000_10,316.3221435546875,321.2238464355469,321.9412536621094,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.968224572509,26.45898083255191]}"
A20150401_0000_11,313.9693908691406,321.00384521484375,321.08123779296875,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.79858882844533,27.47679529693424]}"
A20150401_0000_12,314.192138671875,320.51385498046875,321.20147705078125,12,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.2896396665245,27.217877582310663]}"
A20150401_0000_13,311.9923095703125,321.9238586425781,321.9362487792969,13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66479166179445,28.02141531734935]}"
A20150401_0000_14,316.81304931640625,319.8538513183594,321.98126220703125,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.84314595426596,26.414339847271982]}"
A20150401_0000_15,311.7723083496094,320.7938537597656,321.6862487792969,15,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.50404218505705,27.45001070576629]}"
A20150401_0000_16,315.57305908203125,320.183837890625,321.011474609375,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.93246985455542,26.557191000167748]}"
A20150401_0000_17,310.66229248046875,320.4738464355469,323.38360595703125,17,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.63800707062646,30.182039004897817]}"
A20150401_0000_18,312.2123107910156,321.74383544921875,321.6862487792969,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.78085822352224,27.842851376229646]}"
A20150401_0000_19,316.3221435546875,321.2238464355469,321.9412536621094,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.97715276956504,26.49469362077585]}"
A20150401_0000_20,313.7694091796875,320.5238342285156,321.031494140625,20,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.18250130185268,27.316087749926503]}"
A20150401_0000_21,314.8521423339844,319.87384033203125,320.9214782714844,21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.8967570663315,26.87860609418322]}"
A20150401_0000_22,312.4623107910156,321.0438537597656,321.7862548828125,22,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.83434354639886,27.842851376229646]}"
A20150401_0000_23,316.7830505371094,321.51385498046875,322.1912536621094,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.80751702550131,26.146493935592417]}"
A20150401_0000_24,317.8430480957031,319.8538513183594,321.8612365722656,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.6645400834166,25.69115588573716]}"
A20150401_0000_25,315.57305908203125,320.183837890625,321.011474609375,25,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.93246985455542,26.503621817831835]}"
A20150401_0000_26,315.70745849609375,321.8638610839844,323.71148681640625,26,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.03960821922729,27.03038544413497]}"
A20150401_0000_27,316.05303955078125,320.4138488769531,321.1152648925781,27,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.4682036076442,26.655401167783587]}"
A20150401_0000_28,313.31231689453125,322.2338562011719,323.0350341796875,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.97727855875391,27.119667414694824]}"
A20150401_0000_29,314.17010498046875,319.9038391113281,322.0514831542969,29,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.76287604022136,28.35175860842081]}"
A20150401_0000_30,312.1423034667969,321.87384033203125,321.8162536621094,30,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53979690301063,27.851779573285626]}"
A20150401_0000_31,311.7823181152344,321.63385009765625,321.2462463378906,31,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74514543529833,29.699916363874607]}"
A20150401_0000_32,320.5485534667969,321.23443603515625,323.39501953125,32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.10206366888954,24.771551588970667]}"
A20150401_0000_33,316.7100830078125,319.5838623046875,321.98126220703125,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.36995151029876,27.646431040997967]}"
A20150401_0000_34,316.2221374511719,320.7938537597656,321.16387939453125,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.995009163677,26.923247079463145]}"
A20150401_0000_35,316.1721496582031,320.75384521484375,321.6912536621094,35,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.12000392246077,26.307201482600156]}"
A20150401_0000_36,316.93304443359375,321.0738525390625,322.521240234375,36,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.03960821922729,26.307201482600156]}"
A20150401_0000_37,320.258544921875,321.3138427734375,322.7250061035156,37,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.76279218076209,24.97690012125834]}"
A20150401_0000_38,317.05303955078125,320.5338439941406,322.1314697265625,38,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.72707939253817,26.182206723816357]}"
A20150401_0000_39,316.6630554199219,320.9738464355469,321.4012451171875,39,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.70926492815582,26.23577590615227]}"
A20150401_0000_40,317.363037109375,321.6038513183594,322.2252502441406,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.26289700508616,26.13756573853643]}"
A20150401_0000_41,315.8621520996094,320.8438415527344,321.5936279296875,41,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.61109669026959,26.5839755913357]}"
A20150401_0000_42,316.81304931640625,319.8538513183594,321.98126220703125,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.9413561218818,26.316129679656143]}"
A20150401_0000_43,312.7105407714844,319.933837890625,320.9262390136719,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.0218356845746,28.557107140708474]}"
A20150401_0000_44,313.9321594238281,320.0638427734375,321.28125,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.00393736073298,27.521436282214168]}"
A20150401_0000_45,315.692138671875,320.94384765625,321.59124755859375,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.30753799036611,26.664329364839574]}"
A20150401_0000_46,316.1030578613281,320.88385009765625,322.0014953613281,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.24495675151493,26.735754941287453]}"
A20150401_0000_47,312.5823059082031,321.5538330078125,321.6862487792969,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.31655004688136,27.110739217638844]}"
A20150401_0000_48,314.8521423339844,319.87384033203125,320.9214782714844,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.84318788399557,26.825036911847306]}"
A20150401_0000_49,316.1630554199219,321.3438415527344,322.1212463378906,49,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.05754847279852,26.476837226663875]}"
A20150401_0000_50,311.4523010253906,320.94384765625,321.4262390136719,50,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.9772366290243,28.360686805476796]}"
A20150401_0000_51,311.7200927734375,320.2138366699219,321.7914733886719,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.15575864041435,28.485681564260588]}"
A20150401_0000_52,316.93304443359375,319.69384765625,321.98126220703125,52,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.12884826005748,26.26256049732023]}"
A20150401_0000_53,311.8623046875,320.6538391113281,321.3052673339844,53,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.8164871522869,28.21783565258103]}"
A20150401_0000_54,311.9923095703125,320.5538330078125,321.35626220703125,54,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.62899501411121,28.62853271715636]}"
A20150401_0000_55,317.0930480957031,320.1138610839844,321.95147705078125,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.80743316604205,26.03935557092059]}"
A20150401_0000_56,311.93231201171875,321.8638610839844,321.90625,56,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.80764281469018,28.360686805476796]}"
A20150401_0000_57,317.3930358886719,321.6638488769531,322.3212585449219,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.11111765513445,26.10185295031249]}"
A20150401_0000_58,321.0485534667969,321.26385498046875,323.0635986328125,58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.03063809244165,24.709054209578767]}"
A20150401_0000_59,317.1030578613281,319.5538330078125,321.5512390136719,59,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49490433935287,25.771509659241033]}"
A20150401_0000_60,312.4417724609375,322.0538330078125,322.1250305175781,60,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73621723824229,27.717856617445847]}"
A20150401_0000_61,311.9923095703125,321.9238586425781,321.9362487792969,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64693526768244,28.101769090853217]}"
A20150401_0000_62,317.4930419921875,321.4138488769531,322.3912353515625,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.11996199273116,26.20006311792833]}"
A20150401_0000_63,316.9130554199219,320.0838623046875,321.8012390136719,63,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.51280266319449,25.923289009192786]}"
A20150401_0000_64,315.8021545410156,322.0738525390625,322.59149169921875,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.50400025532744,26.42326804432797]}"
A20150401_0000_65,316.7930603027344,321.0838623046875,322.32501220703125,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.18254323158229,25.94114540330476]}"
A20150401_0000_66,313.11175537109375,322.2138366699219,322.8750305175781,66,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5755096912346,27.378585129318402]}"
A20150401_0000_67,316.1030578613281,320.88385009765625,322.0014953613281,67,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.03960821922729,26.664329364839574]}"
A20150401_0000_68,315.4221496582031,321.75384521484375,322.2436218261719,68,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.01294941724822,26.664329364839574]}"
A20150401_0000_69,316.7630615234375,320.50384521484375,321.5612487792969,69,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.51284459292415,26.32505787671213]}"
A20150401_0000_70,316.5230407714844,322.3038330078125,322.9150085449219,70,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.87005633462283,26.048283767976578]}"
A20150401_0000_71,312.5122985839844,322.0638427734375,322.3062438964844,71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.15588442960328,29.08387076701161]}"
A20150401_0000_72,316.860107421875,320.7838439941406,322.2728576660156,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.67351021020224,27.36072873520643]}"
A20150401_0000_73,315.39215087890625,320.9638366699219,321.6312561035156,73,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.13790224630239,26.68218575895154]}"
A20150401_0000_74,316.3930358886719,319.933837890625,321.7914733886719,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.5753000425864,26.6464729707276]}"
A20150401_0000_75,316.93304443359375,319.69384765625,321.98126220703125,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.04849448655361,26.289345088488183]}"
A20150401_0000_76,315.8021545410156,322.0738525390625,322.59149169921875,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.53078484649538,26.405411650215996]}"
A20150401_0000_77,316.5230407714844,322.3038330078125,322.9150085449219,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.95933830518268,26.03042737386461]}"
A20150401_0000_78,316.1721496582031,320.75384521484375,321.6912536621094,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.18250130185268,26.45898083255191]}"
A20150401_0000_79,314.0323181152344,320.703857421875,321.2962646484375,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.98608096662102,27.566077267494094]}"
A20150401_0000_80,311.8423156738281,321.953857421875,322.1262512207031,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71836084413033,28.271404834916943]}"
A20150401_0000_81,316.7100830078125,319.5838623046875,321.98126220703125,81,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.2628131456269,27.557149070438108]}"
A20150401_0000_82,313.3493957519531,321.2938537597656,321.4362487792969,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.33444837072298,28.557107140708474]}"
A20150401_0000_83,315.7021484375,320.4138488769531,320.71148681640625,83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.12000392246077,26.96788806474307]}"
A20150401_0000_84,316.66058349609375,321.0838623046875,322.8912353515625,84,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.28959773679489,27.369656932262416]}"
A20150401_0000_85,316.9130554199219,320.0838623046875,321.8012390136719,85,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.72707939253817,25.967929994472712]}"
A20150401_0000_86,313.7694091796875,320.5238342285156,321.031494140625,86,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.00393736073298,27.35180053815045]}"
A20150401_0000_87,316.7100830078125,319.5838623046875,321.98126220703125,87,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.47708987497057,27.53929267632614]}"
A20150401_0000_88,314.18939208984375,322.49383544921875,323.2950134277344,88,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.24512447043347,26.84289330595928]}"
A20150401_0000_89,312.5823059082031,321.19384765625,321.8336181640625,89,"{""geodesic"":false,""type"":""Point"",""coordinates"":[79.44150287593553,27.083954626470884]}"
A20150401_0000_90,313.9893798828125,319.7938537597656,321.0514831542969,90,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.83425968693959,27.208949385254684]}"
A20150401_0000_91,311.8323059082031,321.6538391113281,321.5762634277344,91,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.01299134697788,28.31604582019687]}"
A20150401_0000_92,311.7222900390625,321.5838623046875,321.20623779296875,92,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.21833987926553,29.62849078742672]}"
A20150401_0000_93,314.2221374511719,320.01385498046875,321.09149169921875,93,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.33428065180445,27.28930315875855]}"
A20150401_0000_94,312.3923034667969,321.2938537597656,321.8162536621094,94,"{""geodesic"":false,""type"":""Point"",""coordinates"":[78.50404218505705,27.083954626470884]}"
A20150401_0000_95,317.94305419921875,321.203857421875,322.58123779296875,95,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.9413561218818,25.244746032937897]}"
A20150401_0000_96,315.2821350097656,320.89385986328125,321.5335998535156,96,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.48610193148582,27.06609823235891]}"
A20150401_0000_97,312.2217712402344,321.9638366699219,321.82501220703125,97,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.38801755305886,27.77142579978176]}"
A20150401_0000_98,316.6630554199219,320.9738464355469,321.4012451171875,98,"{""geodesic"":false,""type"":""Point"",""coordinates"":[81.53962918409209,26.083996556200518]}"
A20150401_0000_99,312.4417724609375,322.0538330078125,322.1250305175781,99,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53979690301063,27.503579888102195]}"
